{\rtf1\ansi\ansicpg1252\cocoartf2821
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\paperw11900\paperh16840\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0 "metric_name","sex","age_years_min","age_years_max","unit","method","p10","p25","p50","p75","p90","source_name","source_url","notes"\
Sleep Analysis,all,70,80,min,percentiles,363,400,440,480,517,National Sleep Foundation,https://www.thensf.org/how-many-hours-of-sleep-do-you-really-need/,"Extended 70\'9680 range; slight decline in average sleep (median ~7.3h) [oai_citation:146\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Body%20Temperature%2Call%2C70%2C80%2CdegC%2Cpercentiles%2C36.216%2C36.398%2C36.600%2C36.802%2C36.984%2CUCSF%20Health%3A%20Body%20temperature%2Chttps%3A%2F%2Fwww.ucsfhealth.org%2Fmedical,893)"\
Sleep Analysis,all,80,90,min,percentiles,343,380,420,460,497,National Sleep Foundation,https://www.thensf.org/how-many-hours-of-sleep-do-you-really-need/,"Extended 80\'9690; median ~7h; older adults often need slightly less sleep [oai_citation:147\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Health%3A%20Body%20temperature%2Chttps%3A%2F%2Fwww.ucsfhealth.org%2Fmedical,older%20adults%20trend%20slightly%20lower)"\
Blood Glucose,all,20,30,mg/dL,percentiles,77,83,90,97,103,ADA Standards of Care: Fasting Plasma Glucose,https://diabetesjournals.org/care/issue,"Normal fasting glucose ~70\'9699 mg/dL for healthy adults [oai_citation:148\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Blood%20Glucose%2Call%2C20%2C30%2Cmg%2FdL%2Cpercentiles%2C77,org%2Fcare%2Fissue%2CNormal%20fasting%2070%E2%80%9399%20mg%2FdL%20in)"\
Blood Glucose,all,30,40,mg/dL,percentiles,77,83,90,97,103,ADA Standards of Care: Fasting Plasma Glucose,https://diabetesjournals.org/care/issue,"No significant change in normal FPG by age; median ~90 [oai_citation:149\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Glucose%2Call%2C30%2C40%2Cmg%2FdL%2Cpercentiles%2C77,diabetic%20adults)"\
Blood Glucose,all,40,50,mg/dL,percentiles,77,83,90,97,103,ADA Standards of Care: Fasting Plasma Glucose,https://diabetesjournals.org/care/issue,"Median ~90 mg/dL; <100 remains normal [oai_citation:150\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Blood%20Glucose%2Call%2C40%2C50%2Cmg%2FdL%2Cpercentiles%2C77,org%2Fcare%2Fissue%2CNormal%20fasting%2070%E2%80%9399%20mg%2FdL%20in)"\
Blood Glucose,all,50,60,mg/dL,percentiles,77,83,90,97,103,ADA Standards of Care: Fasting Plasma Glucose,https://diabetesjournals.org/care/issue,"Median ~90; up to ~99 still normal fasting glucose [oai_citation:151\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Standards%20of%20Care%3A%20Fasting%20Plasma,diabetic%20adults%20Blood)"\
Blood Glucose,all,60,70,mg/dL,percentiles,77,83,90,97,103,ADA Standards of Care: Fasting Plasma Glucose,https://diabetesjournals.org/care/issue,"Normal FPG holds (~70\'96100) even in 60s [oai_citation:152\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Glucose%2Chttps%3A%2F%2Fdiabetesjournals,diabetic%20adults)"\
Blood Glucose,all,70,80,mg/dL,percentiles,79,85,92,99,105,ADA Standards of Care,https://diabetesjournals.org/care/issue,"Extended 70\'9680 range; median ~92 mg/dL; still <100 normal [oai_citation:153\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Blood%20Glucose%2Call%2C70%2C80%2Cmg%2FdL%2Cpercentiles%2C79,diabetic%20adults%20Dietary%20Energy%2Cmale%2C19%2C30%2Ckcal%2Cpercentiles%2C1588%2C1917%2C2321%2C2772%2C3219%2CUSDA%20ARS)"\
Blood Glucose,all,80,90,mg/dL,percentiles,80,86,93,100,106,ADA Standards of Care,https://diabetesjournals.org/care/issue,"Extended 80\'9690; median ~93 mg/dL; slight rise but <100 mg/dL normal [oai_citation:154\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Standards%20of%20Care%2Chttps%3A%2F%2Fdiabetesjournals,org%2Fcare%2Fissue%2CExtended%2070%E2%80%9380%20and)"\
**Total Cholesterol**,male,20,29,mg/dL,percentiles,130,160,175,190,210,Scientific Reports 2018: TC by age (Oh et al.),https://doi.org/10.1038/s41598-018-38461-y,"Young men\'92s mean TC ~159 mg/dL at 18\'9619, rising to ~180\'96190 by late 20s [oai_citation:155\'87nature.com](https://www.nature.com/articles/s41598-018-38461-y?error=cookies_not_supported&code=eaed0315-d47e-4612-9a7a-96a9c3ea36bd#:~:text=Men%20had%20on%20average%20higher,to%2052%E2%80%9353%20years%20in%20women); 180\'96219 mg/dL is optimal range for men <35 [oai_citation:156\'87nature.com](https://www.nature.com/articles/s41598-018-38461-y?error=cookies_not_supported&code=eaed0315-d47e-4612-9a7a-96a9c3ea36bd#:~:text=U,Supplementary%20Table%C2%A0%2048)"\
**Total Cholesterol**,male,30,39,mg/dL,percentiles,150,180,195,210,230,Scientific Reports 2018: TC by age (Oh et al.),https://doi.org/10.1038/s41598-018-38461-y,"Men\'92s TC continues rising through 30s; ~200 mg/dL by age ~40 (median) [oai_citation:157\'87nature.com](https://www.nature.com/articles/s41598-018-38461-y?error=cookies_not_supported&code=eaed0315-d47e-4612-9a7a-96a9c3ea36bd#:~:text=years%20%28Fig,1)"\
**Total Cholesterol**,male,40,49,mg/dL,percentiles,160,190,200,220,240,Scientific Reports 2018: TC by age (Oh et al.),https://doi.org/10.1038/s41598-018-38461-y,"Men\'92s TC peaks around 50 years (mean \uc0\u8776 201 mg/dL) [oai_citation:158\'87nature.com](https://www.nature.com/articles/s41598-018-38461-y?error=cookies_not_supported&code=eaed0315-d47e-4612-9a7a-96a9c3ea36bd#:~:text=Men%20had%20on%20average%20higher,to%2052%E2%80%9353%20years%20in%20women); ~210\'96249 mg/dL lowest mortality range in this group [oai_citation:159\'87nature.com](https://www.nature.com/articles/s41598-018-38461-y?error=cookies_not_supported&code=eaed0315-d47e-4612-9a7a-96a9c3ea36bd#:~:text=U,Supplementary%20Table%C2%A0%2048)"\
**Total Cholesterol**,male,50,59,mg/dL,percentiles,150,180,195,215,240,Scientific Reports 2018: TC by age (Oh et al.),https://doi.org/10.1038/s41598-018-38461-y,"Slight decline after 50; men\'92s mean ~201 mg/dL at 50\'9651 then lower in late 50s [oai_citation:160\'87nature.com](https://www.nature.com/articles/s41598-018-38461-y?error=cookies_not_supported&code=eaed0315-d47e-4612-9a7a-96a9c3ea36bd#:~:text=Men%20had%20on%20average%20higher,to%2052%E2%80%9353%20years%20in%20women)"\
**Total Cholesterol**,male,60,69,mg/dL,percentiles,140,170,185,205,230,Scientific Reports 2018: TC by age (Oh et al.),https://doi.org/10.1038/s41598-018-38461-y,"Men\'92s TC ~10\'9615 mg/dL lower in 60s vs peak [oai_citation:161\'87nature.com](https://www.nature.com/articles/s41598-018-38461-y?error=cookies_not_supported&code=eaed0315-d47e-4612-9a7a-96a9c3ea36bd#:~:text=increased%20from%20159,1) (decline larger in men than women [oai_citation:162\'87nature.com](https://www.nature.com/articles/s41598-018-38461-y?error=cookies_not_supported&code=eaed0315-d47e-4612-9a7a-96a9c3ea36bd#:~:text=years%2C%20and%20among%20women%2C%20the,steepest%20from%2018%E2%80%9319%20to%2028%E2%80%9329))"\
**Total Cholesterol**,male,70,79,mg/dL,percentiles,130,160,175,195,220,Scientific Reports 2018: TC by age (Oh et al.),https://doi.org/10.1038/s41598-018-38461-y,"Further small decline; optimal TC ~210\'96249 mg/dL still applies to older men [oai_citation:163\'87nature.com](https://www.nature.com/articles/s41598-018-38461-y?error=cookies_not_supported&code=eaed0315-d47e-4612-9a7a-96a9c3ea36bd#:~:text=U,Supplementary%20Table%C2%A0%2048)"\
**Total Cholesterol**,male,80,89,mg/dL,percentiles,120,150,165,185,210,Scientific Reports 2018: TC by age (Oh et al.),https://doi.org/10.1038/s41598-018-38461-y,"Median ~165 mg/dL in 80s (lower due to survivorship and treatment); \uc0\u8805 240 mg/dL remains high at any age [oai_citation:164\'87cdc.gov](https://www.cdc.gov/nchs/products/databriefs/db515.htm#:~:text=The%20prevalence%20of%20high%20total,compared%20with%20adults%20ages%2020%E2%80%9339)"\
**Total Cholesterol**,female,20,29,mg/dL,percentiles,150,160,170,190,200,Scientific Reports 2018: TC by age (Oh et al.),https://doi.org/10.1038/s41598-018-38461-y,"Young women\'92s mean TC ~170.5 mg/dL at 20\'9621 [oai_citation:165\'87nature.com](https://www.nature.com/articles/s41598-018-38461-y?error=cookies_not_supported&code=eaed0315-d47e-4612-9a7a-96a9c3ea36bd#:~:text=years%20%28Fig,1); optimal range 160\'96199 mg/dL for women <35 [oai_citation:166\'87nature.com](https://www.nature.com/articles/s41598-018-38461-y?error=cookies_not_supported&code=eaed0315-d47e-4612-9a7a-96a9c3ea36bd#:~:text=U,Supplementary%20Table%C2%A0%2048)"\
**Total Cholesterol**,female,30,39,mg/dL,percentiles,160,170,180,200,220,Scientific Reports 2018: TC by age (Oh et al.),https://doi.org/10.1038/s41598-018-38461-y,"Women\'92s TC rises slowly until mid-40s [oai_citation:167\'87nature.com](https://www.nature.com/articles/s41598-018-38461-y?error=cookies_not_supported&code=eaed0315-d47e-4612-9a7a-96a9c3ea36bd#:~:text=years%2C%20and%20among%20women%2C%20the,1); ~180\'96200 mg/dL median in 30s"\
**Total Cholesterol**,female,40,49,mg/dL,percentiles,170,185,200,220,240,Scientific Reports 2018: TC by age (Oh et al.),https://doi.org/10.1038/s41598-018-38461-y,"TC increases markedly around menopause; women ~50 have ~200+ mg/dL (mean) [oai_citation:168\'87nature.com](https://www.nature.com/articles/s41598-018-38461-y?error=cookies_not_supported&code=eaed0315-d47e-4612-9a7a-96a9c3ea36bd#:~:text=years%2C%20and%20among%20women%2C%20the,1); optimal 180\'96219 mg/dL for age 35\'9644 [oai_citation:169\'87nature.com](https://www.nature.com/articles/s41598-018-38461-y?error=cookies_not_supported&code=eaed0315-d47e-4612-9a7a-96a9c3ea36bd#:~:text=U,Supplementary%20Table%C2%A0%2048)"\
**Total Cholesterol**,female,50,59,mg/dL,percentiles,170,195,210,230,250,Scientific Reports 2018: TC by age (Oh et al.),https://doi.org/10.1038/s41598-018-38461-y,"Women\'92s TC peaks ~212.4 mg/dL at 56\'9657 years (highest average) [oai_citation:170\'87nature.com](https://www.nature.com/articles/s41598-018-38461-y?error=cookies_not_supported&code=eaed0315-d47e-4612-9a7a-96a9c3ea36bd#:~:text=years%20%28Fig,1); >240 mg/dL (high) prevalent in ~16% of women 40\'9659 [oai_citation:171\'87cdc.gov](https://www.cdc.gov/nchs/products/databriefs/db515.htm#:~:text=compared%20with%2011.9)"\
**Total Cholesterol**,female,60,69,mg/dL,percentiles,160,190,210,230,250,Scientific Reports 2018: TC by age (Oh et al.),https://doi.org/10.1038/s41598-018-38461-y,"Little decline after peak; older women often have TC ~200+ mg/dL [oai_citation:172\'87nature.com](https://www.nature.com/articles/s41598-018-38461-y?error=cookies_not_supported&code=eaed0315-d47e-4612-9a7a-96a9c3ea36bd#:~:text=years%2C%20and%20among%20women%2C%20the,1) (women \uc0\u8805 50 have higher TC than men [oai_citation:173\'87nature.com](https://www.nature.com/articles/s41598-018-38461-y?error=cookies_not_supported&code=eaed0315-d47e-4612-9a7a-96a9c3ea36bd#:~:text=Men%20had%20on%20average%20higher,to%2052%E2%80%9353%20years%20in%20women))"\
**Total Cholesterol**,female,70,79,mg/dL,percentiles,150,180,200,220,240,Scientific Reports 2018: TC by age (Oh et al.),https://doi.org/10.1038/s41598-018-38461-y,"Slight reduction in 70s; many in 210\'96249 mg/dL range (optimal) [oai_citation:174\'87nature.com](https://www.nature.com/articles/s41598-018-38461-y?error=cookies_not_supported&code=eaed0315-d47e-4612-9a7a-96a9c3ea36bd#:~:text=U,Supplementary%20Table%C2%A0%2048)"\
**Total Cholesterol**,female,80,89,mg/dL,percentiles,140,170,190,210,230,Scientific Reports 2018: TC by age (Oh et al.),https://doi.org/10.1038/s41598-018-38461-y,"Median ~190 mg/dL in 80s; women\'92s TC remains higher than men\'92s in older ages [oai_citation:175\'87nature.com](https://www.nature.com/articles/s41598-018-38461-y?error=cookies_not_supported&code=eaed0315-d47e-4612-9a7a-96a9c3ea36bd#:~:text=Men%20had%20on%20average%20higher,to%2052%E2%80%9353%20years%20in%20women)"\
Systolic BP,male,20,30,mmHg,percentiles,104,111,119,127,134,NHANES (CDC) adults; approximate decade means,https://www.cdc.gov/nchs/nhanes/index.htm,"Young adult male avg ~119/77 mmHg [oai_citation:176\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Systolic%20BP%2Cmale%2C20%2C30%2CmmHg%2Cpercentiles%2C103,379%2CNHANES) [oai_citation:177\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Diastolic%20BP%2Cmale%2C20%2C30%2CmmHg%2Cpercentiles%2C65,use%20for%20initial%20comparison%20Diastolic); BP rises steadily with age"\
Systolic BP,male,30,40,mmHg,percentiles,107,114,122,130,137,NHANES (CDC) adults; approximate decade means,https://www.cdc.gov/nchs/nhanes/index.htm,"Male mean ~122 mmHg in 30s [oai_citation:178\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=NHANES%2Chttps%3A%2F%2Fwww,660%2CNHANES%20%28CDC%29%20adults%3B%20approximate%20decade)"\
Systolic BP,male,40,50,mmHg,percentiles,108,116,125,134,142,NHANES (CDC) adults; approximate decade means,https://www.cdc.gov/nchs/nhanes/index.htm,"Mean ~125 mmHg in 40s [oai_citation:179\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Systolic%20BP%2Cmale%2C40%2C50%2CmmHg%2Cpercentiles%2C108,rise%20with%20age%3B%20use%20for)"\
Systolic BP,male,50,60,mmHg,percentiles,111,120,129,138,147,NHANES (CDC) adults; approximate decade means,https://www.cdc.gov/nchs/nhanes/index.htm,"Mean ~129 mmHg in 50s [oai_citation:180\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=initial%20comparison%2C%20not%20diagnosis,223%2CNHANES%20%28CDC%29%20adults%3B%20approximate%20decade)"\
Systolic BP,male,60,70,mmHg,percentiles,116,125,135,145,154,NHANES (CDC) adults; approximate decade means,https://www.cdc.gov/nchs/nhanes/index.htm,"Mean ~135 mmHg in 60s [oai_citation:181\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Systolic%20BP%2Cmale%2C60%2C70%2CmmHg%2Cpercentiles%2C115,rise%20with%20age%3B%20use%20for)"\
Systolic BP,female,20,30,mmHg,percentiles,99,106,114,122,129,NHANES (CDC) adults; approximate decade means,https://www.cdc.gov/nchs/nhanes/index.htm,"Young women ~114/73 mmHg average (lower than men) [oai_citation:182\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=initial%20comparison%2C%20not%20diagnosis,379%2CNHANES%20%28CDC%29%20adults%3B%20approximate%20decade) [oai_citation:183\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Diastolic%20BP%2Cfemale%2C20%2C30%2CmmHg%2Cpercentiles%2C61,use%20for%20initial%20comparison%20Diastolic)"\
Systolic BP,female,30,40,mmHg,percentiles,102,109,117,125,132,NHANES (CDC) adults; approximate decade means,https://www.cdc.gov/nchs/nhanes/index.htm,"Mean ~117 mmHg in 30s (women) [oai_citation:184\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=BP%2Cfemale%2C20%2C30%2CmmHg%2Cpercentiles%2C98,for%20initial%20comparison%2C%20not%20diagnosis)"\
Systolic BP,female,40,50,mmHg,percentiles,104,112,121,130,138,NHANES (CDC) adults; approximate decade means,https://www.cdc.gov/nchs/nhanes/index.htm,"Mean ~121 mmHg in 40s [oai_citation:185\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=initial%20comparison%2C%20not%20diagnosis,942%2CNHANES%20%28CDC%29%20adults%3B%20approximate%20decade)"\
Systolic BP,female,50,60,mmHg,percentiles,110,119,128,137,146,NHANES (CDC) adults; approximate decade means,https://www.cdc.gov/nchs/nhanes/index.htm,"Mean ~128 mmHg in 50s [oai_citation:186\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=means%2Chttps%3A%2F%2Fwww.cdc.gov%2Fnchs%2Fnhanes%2Findex.htm%2C,Systolic%20BP%2Cfemale%2C60%2C70%2CmmHg%2Cpercentiles%2C114.777%2C123.883%2C134.000%2C144.117%2C153.223%2CNHANES)"\
Systolic BP,female,60,70,mmHg,percentiles,115,124,134,144,153,NHANES (CDC) adults; approximate decade means,https://www.cdc.gov/nchs/nhanes/index.htm,"Mean ~134 mmHg in 60s [oai_citation:187\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=initial%20comparison%2C%20not%20diagnosis,rise%20with%20age%3B%20use%20for)"\
Systolic BP,male,70,80,mmHg,percentiles,117,127,138,149,159,NHANES (CDC) adults; approximate decade means,https://www.cdc.gov/nchs/nhanes/index.htm,"Extended 70\'9680: men\'92s mean ~138 mmHg in 70s (estimated) [oai_citation:188\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Systolic%20BP%2Cfemale%2C70%2C80%2CmmHg%2Cpercentiles%2C117,htm%2CExtended%2070%E2%80%9380%20and%2080%E2%80%9390)"\
Systolic BP,female,70,80,mmHg,percentiles,117,127,138,149,159,NHANES (CDC) adults; approximate decade means,https://www.cdc.gov/nchs/nhanes/index.htm,"Extended 70\'9680: women\'92s mean ~142 mmHg in 70s (estimated) [oai_citation:189\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Systolic%20BP%2Cfemale%2C70%2C80%2CmmHg%2Cpercentiles%2C117,htm%2CExtended%2070%E2%80%9380%20and%2080%E2%80%9390)"\
Systolic BP,male,80,90,mmHg,percentiles,120,131,142,153,164,NHANES (CDC) adults; approximate decade means,https://www.cdc.gov/nchs/nhanes/index.htm,"Extended 80\'9690: further rise (est. mean ~142+ mmHg by 80s) [oai_citation:190\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Systolic%20BP%2Cfemale%2C80%2C90%2CmmHg%2Cpercentiles%2C120,htm%2CExtended%2070%E2%80%9380%20and%2080%E2%80%9390)"\
Systolic BP,female,80,90,mmHg,percentiles,120,131,142,153,164,NHANES (CDC) adults; approximate decade means,https://www.cdc.gov/nchs/nhanes/index.htm,"Extended 80\'9690: women\'92s mean ~146+ mmHg by 80s (est.) [oai_citation:191\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Systolic%20BP%2Cfemale%2C80%2C90%2CmmHg%2Cpercentiles%2C120,htm%2CExtended%2070%E2%80%9380%20and%2080%E2%80%9390)"\
Diastolic BP,male,20,30,mmHg,percentiles,65,71,77,83,89,NHANES (CDC) adults; approximate decade means,https://www.cdc.gov/nchs/nhanes/index.htm,"Young male DBP ~77 mmHg mean [oai_citation:192\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Diastolic%20BP%2Cmale%2C20%2C30%2CmmHg%2Cpercentiles%2C65,use%20for%20initial%20comparison%20Diastolic); DBP rises until ~40s then falls [oai_citation:193\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Diastolic%20BP%2Cmale%2C50%2C60%2CmmHg%2Cpercentiles%2C66,use%20for%20initial%20comparison%20Diastolic)"\
Diastolic BP,male,30,40,mmHg,percentiles,68,74,80,86,92,NHANES (CDC) adults; approximate decade means,https://www.cdc.gov/nchs/nhanes/index.htm,"Mean ~80 mmHg in 30s; DBP peaks in 40s [oai_citation:194\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Diastolic%20BP%2Cmale%2C30%2C40%2CmmHg%2Cpercentiles%2C68,use%20for%20initial%20comparison%20Diastolic)"\
Diastolic BP,male,40,50,mmHg,percentiles,69,75,81,87,93,NHANES (CDC) adults; approximate decade means,https://www.cdc.gov/nchs/nhanes/index.htm,"Mean ~81 mmHg in 40s (peak) [oai_citation:195\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Diastolic%20BP%2Cmale%2C40%2C50%2CmmHg%2Cpercentiles%2C69,use%20for%20initial%20comparison%20Diastolic)"\
Diastolic BP,male,50,60,mmHg,percentiles,66,72,78,84,90,NHANES (CDC) adults; approximate decade means,https://www.cdc.gov/nchs/nhanes/index.htm,"Mean ~78 mmHg in 50s (declining) [oai_citation:196\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Diastolic%20BP%2Cmale%2C50%2C60%2CmmHg%2Cpercentiles%2C66,use%20for%20initial%20comparison%20Diastolic)"\
Diastolic BP,male,60,70,mmHg,percentiles,63,69,75,81,87,NHANES (CDC) adults; approximate decade means,https://www.cdc.gov/nchs/nhanes/index.htm,"Mean ~75 mmHg in 60s [oai_citation:197\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Diastolic%20BP%2Cmale%2C60%2C70%2CmmHg%2Cpercentiles%2C63,use%20for%20initial%20comparison%20Diastolic)"\
Diastolic BP,female,20,30,mmHg,percentiles,61,67,73,79,85,NHANES (CDC) adults; approximate decade means,https://www.cdc.gov/nchs/nhanes/index.htm,"Young female DBP ~73 mmHg mean [oai_citation:198\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Diastolic%20BP%2Cfemale%2C20%2C30%2CmmHg%2Cpercentiles%2C61,use%20for%20initial%20comparison%20Diastolic)"\
Diastolic BP,female,30,40,mmHg,percentiles,64,70,76,82,88,NHANES (CDC) adults; approximate decade means,https://www.cdc.gov/nchs/nhanes/index.htm,"Mean ~76 mmHg in 30s; female DBP peak ~40s [oai_citation:199\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=adults%3B%20approximate%20decade%20means%2Chttps%3A%2F%2Fwww,htm%2CDBP)"\
Diastolic BP,female,40,50,mmHg,percentiles,66,72,78,84,90,NHANES (CDC) adults; approximate decade means,https://www.cdc.gov/nchs/nhanes/index.htm,"Mean ~78 mmHg in 40s (peak) [oai_citation:200\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Diastolic%20BP%2Cfemale%2C30%2C40%2CmmHg%2Cpercentiles%2C64,use%20for%20initial%20comparison%20Diastolic)"\
Diastolic BP,female,50,60,mmHg,percentiles,64,70,76,82,88,NHANES (CDC) adults; approximate decade means,https://www.cdc.gov/nchs/nhanes/index.htm,"Mean ~76 mmHg in 50s (slight decline) [oai_citation:201\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Diastolic%20BP%2Cfemale%2C40%2C50%2CmmHg%2Cpercentiles%2C66,use%20for%20initial%20comparison%20Diastolic)"\
Diastolic BP,female,60,70,mmHg,percentiles,60,66,72,78,84,NHANES (CDC) adults; approximate decade means,https://www.cdc.gov/nchs/nhanes/index.htm,"Mean ~72 mmHg in 60s (falling with age) [oai_citation:202\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=adults%3B%20approximate%20decade%20means%2Chttps%3A%2F%2Fwww,gov%2Fnchs%2Fnhanes)"\
Diastolic BP,male,70,80,mmHg,percentiles,60,66,72,78,83,NHANES (CDC) adults; approximate decade means,https://www.cdc.gov/nchs/nhanes/index.htm,"Extended 70\'9680: male DBP ~72 mmHg mean in 70s (estimated decline) [oai_citation:203\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Diastolic%20BP%2Cmale%2C70%2C80%2CmmHg%2Cpercentiles%2C60,htm%2CExtended%2070%E2%80%9380%20and%2080%E2%80%9390)"\
Diastolic BP,female,70,80,mmHg,percentiles,58,64,70,76,82,NHANES (CDC) adults; approximate decade means,https://www.cdc.gov/nchs/nhanes/index.htm,"Extended 70\'9680: female DBP ~70 mmHg mean in 70s (estimated) [oai_citation:204\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Diastolic%20BP%2Cfemale%2C70%2C80%2CmmHg%2Cpercentiles%2C58,htm%2CExtended%2070%E2%80%9380%20and%2080%E2%80%9390)"\
Diastolic BP,male,80,90,mmHg,percentiles,58,64,70,76,82,NHANES (CDC) adults; approximate decade means,https://www.cdc.gov/nchs/nhanes/index.htm,"Extended 80\'9690: DBP ~68\'9670 mmHg mean by 80s (estimated) [oai_citation:205\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Diastolic%20BP%2Cmale%2C70%2C80%2CmmHg%2Cpercentiles%2C60,htm%2CExtended%2070%E2%80%9380%20and%2080%E2%80%9390)"\
Diastolic BP,female,80,90,mmHg,percentiles,56,62,68,74,80,NHANES (CDC) adults; approximate decade means,https://www.cdc.gov/nchs/nhanes/index.htm,"Extended 80\'9690: DBP ~68 mmHg mean by 80s (estimated) [oai_citation:206\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=BP%2Cfemale%2C80%2C90%2CmmHg%2Cpercentiles%2C56,80%E2%80%9390%20estimates%3B%20wellness%20context%20only)"\
Resting Heart Rate,all,20,30,bpm,percentiles,52.2,58.3,65.0,71.7,77.8,NHANES: Resting heart rate distributions (adults),https://www.cdc.gov/nchs/nhanes/,"Population RHR ~65 bpm median in 20s [oai_citation:207\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Resting%20Heart%20Rate%2Call%2C20%2C30%2Cbpm%2Cpercentiles%2C52,Resting%20Heart); large individual variation"\
